key,summary,recommended_status,why,acceptance_criteria_met,evidence,unmet_or_blocker
IN-65,Spike: MS Graph meeting detection — subscription vs polling,Complete / Done,Polling vs webhooks was evaluated and Electron main-process delegated Graph polling was selected for Slice 1.,Recommendation made; Graph scopes identified; /me/calendarView baseline documented; webhook tradeoffs documented; throttling/backoff rules documented; polling cadence documented.,docs/spikes/ms-graph-meeting-detection.md; live validation update; poll cadence immediate startup/sign-in/resume plus 5-minute normal polling.,"Persistent MSAL token cache is a follow-up hardening item, not a blocker for the spike decision."
IN-66,Wire auto-start and auto-stop recording to Graph meeting events,Complete / Done,Graph event detection is wired to recording lifecycle and upload metadata.,Auto-start path exists; auto-stop timer exists; manual recording bypasses calendar logic; Graph metadata passes through create/upload/backend record.,"docs/jira-progress.md IN-66; commits 1df29d8, 0000990, 9b74905; npm run verify:graph; typecheck; build; backend compileall; FastAPI smoke for create/upload with Graph metadata.",
IN-67,Implement host-only recording gate for auto-triggered meetings,Complete / Done,Auto-recording is organiser-gated and non-organiser meetings are skipped.,Organiser passes; non-organiser blocked; excluded events blocked; manual recording bypasses host gate.,src/main/graph/host-gate.ts; docs/jira-progress.md IN-67; commit e25c4e3; live 2pm Innovations Sync check showed David as organiser so Joseph should not auto-record.,
IN-68,Implement MS Graph meeting detection in Electron main process,Complete / Done with auth-persistence follow-up,"MSAL public-client auth, Graph calendar polling, host gate, start-window gate, and duplicate protection are implemented.",Detects real Teams calendar meetings; uses delegated Graph; emits eligible/skipped decisions; auto-start only inside 3-minute window; skips non-organiser meetings.,"docs/jira-progress.md IN-68; commits cf2a475, a59bd92, bb33e2c; src/main/graph/runtime.ts; DEFAULT_POLL_INTERVAL_MS=5 minutes; DEFAULT_AUTO_START_LEAD_MS=3 minutes.",Current app loses cached MSAL account after restart. Add persistent MSAL cache as hardening/follow-up.
IN-70,Define internal vs client meeting_type classification rules,Complete / Done,Jira already marks Done and classification rule was decided.,Internal/client classification rules documented and accepted as initial Slice 1 logic.,Jira (2).csv shows IN-70 Done; comments confirm team agreed to initial rules.,
IN-71,Configure app to run at Windows startup and persist in system tray,Complete / Done,"Tray behavior, startup/background launch behavior, single-instance handling, and opt-out setting are implemented.",App persists in tray; packaged builds can launch at login; single-instance prevents duplicates; tray status updates with recording state.,docs/jira-progress.md IN-71; commits a7db862 and 0630750; npm run typecheck; npm run build; git diff --check.,Final signed installer rollout remains under IN-81.
IN-72,UI cleanup: remove per-calendar-meeting Record button,Complete / Done,Calendar meeting list/per-meeting Record button is removed while manual controls remain.,No per-calendar meeting Record button; manual Start/Stop remains available.,docs/jira-progress.md IN-72/IN-88; dashboard cleanup under IN-73.,
IN-73,Evaluate removal of meeting list and calendar strip,Complete / Done,Decision made to remove meeting list/calendar strip for simpler Slice 1 UI; Jira already marks Done.,Decision documented; UI implementation follows decision.,Jira (2).csv IN-73 Done; outcome says these can be removed for simpler UI; docs/jira-progress.md dashboard cleanup.,
IN-74,UI cleanup: remove full meeting detail page,Complete / Done,Meeting detail/review route was removed for Slice 1 production handoff.,Full detail page absent; transcript/summary/waveform/speaker review/export controls absent.,Latest PR commit e7b99a7 fix: align slice 1 UI and long-meeting plan; docs/jira-progress.md IN-74; MeetingReviewScreen route removed from App.tsx.,
IN-75,UI cleanup: remove action items view and aggregated action items page,Complete / Done,Action item page/view and dashboard card were removed.,No action items tab/page; no aggregated action items page; actions delivered in email/output instead.,docs/jira-progress.md IN-75; UI cleanup evidence under IN-73/74/75.,
IN-77,UI updates: auto-recording status alongside manual recording,Complete / Done,Dashboard/tray status reflects auto-recording and processing state.,Shows recording status; shows processing status; manual active recording view preserved.,docs/jira-progress.md IN-77; commit 132cb77.,
IN-83,Test: Auto-recording starts for meeting organiser,Complete / Done with packaged-startup caveat,Live smoke showed organiser Teams event was detected and auto-recording triggered.,Signed-in organiser meeting detected; host gate passed; auto-record triggered; duplicate/spam safeguards present.,"docs/jira-progress.md IN-68 live smoke: Graph returned real Teams event, host gate passed, renderer confirmed recording started.",Re-test from cold Windows startup after persistent MSAL cache is added.
IN-84,Test: Auto-recording is suppressed for non-organiser,Complete / Done,Host gate blocks non-organiser meetings.,Non-organiser meeting does not auto-record; skip reason is not_organizer.,"docs/jira-progress.md IN-67/IN-68; runtime logs showed reason not_organizer, autoRecordEligible false, hostGateAllowed false.",
IN-85,Test: Manual recording still works for in-room/ad-hoc use,Complete / Done,Manual recording path was tested with actual .webm output and backend processing.,Manual start works without calendar meeting; upload works; backend processes recording.,docs/jira-progress.md IN-85; actual 97 KB .webm recording; create/upload/process flow verified.,
IN-87,Test: Unregistered speaker stored as anonymous/Unknown,Complete / Done,Runtime avoids guessing staff names and stores unknown speakers as Unknown.,Unregistered speaker labelled Unknown/anonymous; unknown count persisted; no Slice 1 correction UI.,docs/jira-progress.md IN-87; review endpoint returned participant name Unknown 1 known false; unknown_speaker_count exists.,
IN-88,Test: Per-meeting Record button absent; manual controls and audio setup present,Complete / Done,Calendar Record button/detail/action UI is absent and manual/audio setup remains.,No per-meeting Record button; no detail/action views; manual recording remains; Settings > Audio Setup remains.,docs/jira-progress.md IN-88; npm run typecheck; npm run build; git diff --check.,
IN-89,Confirm Win32 app Intune requirements with DV,Complete / Done,DV provided Intune Win32 packaging guidance and repo packaging notes were updated.,DV requirements requested; DV response received; packaging direction reflected in repo.,Jira (2).csv IN-89 comment with Intune guide; docs/jira-progress.md IN-81 notes electron-builder.yml updated with Intune Win32 note per DV.,
IN-93,Implement MS Outlook emailing of transcript,Complete / Done with IN-94 E2E caveat,Graph email provider and transcript attachment flow are implemented.,Transcript can be emailed as .txt attachment; calendar-linked recipients use attendees; manual fallback uses recorder; missing token returns 401; email actions audit logged.,docs/jira-progress.md IN-93; GraphEmailProvider; build_transcript_attachment(); api-proxy.ts X-MN-Graph-Token; scripts/verify-email-jira-flow.py.,End-to-end recipient testing remains under IN-94.
IN-95,Define MS Outlook emailing of transcript,Complete / Done,Jira marks Done and spike/definition chose delegated user Outlook/Graph send.,Email approach defined; permissions identified; linked implementation task IN-93 exists.,Jira (2).csv IN-95 Done; comments mention Mail.Send permissions and successful spike test.,
IN-64,"Parent: Slice 1 — Auto-Triggered Recording, Pyannote Speaker ID, and UI Modernisation",Ongoing / In Progress,"Many child tasks are complete, but Slice 1 is not yet handoff-ready.","Graph detection, host gate, UI cleanup, tray/startup, manual recording, and email implementation are largely complete.",PR #2 open and mergeable; docs/jira-progress.md; long-meeting plan.,Persistent MSAL cache; real voiceprint confidence proof; SharePoint write smoke; backend stages/OpenAI chunking; signed installer; comms/handover.
IN-69,Wire Pyannote transcription and voiceprint identification into production pipeline,Ongoing / In Progress,"Pyannote diarization/transcription path exists, but known-speaker voiceprint identification is not fully proven end-to-end.",pyannoteAI diarize/transcription path added; fake owner/first-speaker matching removed; unknown-first behavior implemented.,docs/jira-progress.md IN-69; backend/app/services/speech.py; speaker_matching.py; pipeline.py.,Need /v1/voiceprint + /v1/identify proven with real staff voiceprint; confidence per segment/evidence model; long-meeting timeout/stages.
IN-76,Admin voiceprint upload and registration utility,Ongoing / In Progress,Enrollment backend/UI path exists but actual staff enrollment and central registry behavior are not complete.,UI records 3 clips with consent; fake local success removed; backend confirmation required; Pyannote API key configured; backend calls /v1/voiceprint.,docs/jira-progress.md IN-76.,Live enroll actual staff sample; verify provider voiceprint persisted; verify raw clips deleted; later add required signed-in-user central registry gate.
IN-78,Implement attendee-first voiceprint candidate selection,Ongoing / In Progress,Design exists but attendee-first candidate selection is not fully implemented/proven against real identify output.,Candidate-order design documented in long-meeting plan.,docs/jira-progress.md IN-78; long-meeting plan Phase speaker identity model.,Build candidate list from attendees first; add organiser/recorder next; cap list; run end-to-end test.
IN-79,Implement voiceprint candidate expansion rules for key uninvited people,Ongoing / In Progress,Design direction exists but implementation/proof is incomplete.,Expansion concept documented.,docs/jira-progress.md IN-79; long-meeting plan candidate order.,"Controlled key-person list, cap limits, confidence thresholds, false-positive handling, and decision note/test still needed."
IN-80,False-positive suppression for non-attendee detections,Ongoing / In Progress,"Unknown-first runtime behavior exists, but real Pyannote identify threshold suppression is not validated.",Fallback no longer guesses staff names; unidentified speakers remain Unknown.,docs/jira-progress.md IN-80.,Tune/enforce identify thresholds; suppress short non-attendee detections; store diagnostic-only possible detections; validate with real output.
IN-81,"Packaging, signing, and installer update",Ongoing / In Progress,"Local package directory build works, but signed installer/Intune-ready artifact is not fully proven.",Version bumped; electron-builder.yml updated; package:dir verified; backend secrets excluded.,docs/jira-progress.md IN-81; npm run package:dir.,Signing certificate/CI release and Intune deployment validation still pending.
IN-82,"Confirm PyannoteAI API availability, credentials and costs for production",Ongoing / In Progress,"API key exists and auth has worked, but org account/cost/data-residency confirmation is not complete.",Local MN_PYANNOTE_API_KEY exists; /v1/test auth noted as passing.,backend/.env has MN_PYANNOTE_API_KEY set; docs/jira-progress.md IN-76; Jira comment says personal API key for now.,"Confirm org-owned account, cost per audio hour, voiceprint storage limits, data residency, and production secret storage."
IN-86,Test: Known speaker identified by voiceprint with high confidence,Ongoing / In Progress,No clean acceptance-quality evidence yet that a registered staff voiceprint is identified with confidence in stored transcript.,Voiceprint enrollment path exists partially.,docs/jira-progress.md IN-76 and IN-69 say live voiceprint/identify proof remains.,"Need registered speaker sample, controlled test recording, confidence > threshold, stored transcript names, and no in-app review UI."
IN-91,Define private SharePoint directory for transcript saving,Ongoing / In Progress,Folder target is identified but app write permissions are not proven.,Target SharePoint folder identified.,Target URL: https://futurebusinessgroup.sharepoint.com/sites/InnovationsandSystems/Transcriptions/Forms/AllItems.aspx; long-meeting plan SharePoint decision.,"App currently requests User.Read, Calendars.Read, Mail.Send only; needs SharePoint/Files/Sites scopes and upload smoke test."
IN-94,Test: transcript saved then emailed to correct persons,Ongoing / In Progress,Email implementation exists but complete app-flow recipient tests are not all proven.,Backend allows email after pipeline ready; recipient resolution implemented; manual fallback exists; email endpoint can send.,docs/jira-progress.md IN-94; IN-93 implementation; manual Outlook send of David meeting notes succeeded but was outside intended app automatic flow.,"Need fresh Teams-invitee E2E, ad-hoc E2E, bounce/failure scenario, and auto-send after processing without stale frontend state."
IN-97,Get org account for Pyannote,Ongoing / In Progress,Local key exists but org ownership and production approval are not confirmed.,A Pyannote key is configured locally for development/testing.,"Jira IN-97; Jira IN-82 comment says personal API key for now, set up org API key later; backend/.env has key set.","Need David/DV confirmation of org account, billing owner, approved secret storage, production usage."
IN-98,Check how often we can poll Graph reliably / MS restrictions,"Complete as covered by IN-65/IN-68, or Ongoing if standalone note required","Polling facts are already documented and implemented, but Jira may want a standalone closure note.",5-minute normal poll; immediate startup/sign-in/resume sync; Retry-After/backoff; no tight near-start Graph polling.,docs/spikes/ms-graph-meeting-detection.md; src/main/graph/runtime.ts DEFAULT_POLL_INTERVAL_MS=5*60*1000.,"If kept separate, write a short standalone Graph polling/rate-limit note and link IN-65."
IN-92,Create F1 wide comms,Not Started / Blocked,Communications/change-management work depends on handover/comms ownership decisions.,None yet for the F1-wide comms deliverable.,Jira (2).csv IN-92 says awaiting answer from Gabby on handover requirements.,Awaiting Gabby/handover requirements and decision on comms owner/timing.
IN-96,Communicate with DV and Gabby on Scope/Handover/Coms,Not Started / Blocked until meeting starts; then In Progress,Stakeholder alignment is not complete yet.,"Some DV input exists for Intune, but the full scope/handover/comms decision is not complete.","Jira (2).csv IN-96 lists Explain Scope, Define Handover process, Decide who does comms and how.",Needs DV/Gabby stakeholder discussion and decisions.
